codigo,nombre,cantidad,precio_eur
75458-1,Imperial Remnant AT-RT Driver Helmet,2,70.2396
,"Imposter, Series 26 (Complete Set with Stand and Accessories)",16,4.124
243248-1,Inside Out 2 Mood Cubes,30,24.7851
10427-1,Interactive Adventure Train,2,56.1901
72043-1,Interactive LEGO Mario & Standard Kart,26,36.3554
60430-1,Interstellar Spaceship,10,14.8678
76288-1,Iron Man & Iron Legion vs. Hydra Soldier,8,15.6942
76320-1,Iron Man & War Machine vs. Hammer Drones,12,14.8678
76344-1,Iron Man Mark 3 Collectors' Edition,21,95.033
76307-1,Iron Man Mech vs. Ultron,27,10.7355
76327-1,Iron Man MK4 Bust,24,42.1405
76287-1,Iron Man with Bike and The Hulk,3,10.7355
76315-1,Iron Man's Laboratory: Hall of Armor,17,39.6611
76326-1,Iron Spider-Man Bust,13,42.9669
76298-1,Iron Spider-Man Construction Figure,3,24.7851
77049-1,Isabelle's House Visit,12,28.9173
21359-1,Italian Riviera,8,264.4545
40818-1,Italy Postcard,3,16.5207
71453-1,Izzie and Bunchu the Bunny,12,15.6942
71490-1,Izzie and Bunchurro the Gaming Bunny,13,14.0413
71481-1,Izzie's Dream Animals,13,28.0909
675397-1,Jabba's Sail Barge - UCS,29,446.2726
40643-1,Jade Rabbit,98,19.0
275408-1,Jango Fett Helmet,46,57.843
275409-1,Jango Fett's Firespray-Class Starship - UCS,8,289.2478
275433-1,Jango Fett's Starship,30,49.5785
31218-1,Japanese Cherry Blossom Landscape,45,86.7686
10348-1,Japanese Maple Tree,36,42.9669
43295-1,Jasmine's Jewelry Box,19,35.5289
21350-1,Jaws,1,157.0165
471853-1,Jay's Dragon Mech Fight,70,14.0413
271805-1,Jay's Mech Battle Pack,33,7.4297
471856-1,Jay's Transforming Car,6,37.1818
10312-1,Jazz Club,6,289.2478
75388-1,Jedi Bob's Starfighter,18,28.9173
42227-1,Jeep Wrangler Rubicon,47,46.2727
60489-1,Jet vs. Car,12,21.4793
42218-1,John Deere 1470H Wheeled Harvester,92,7.4297
42157-1,John Deere 948L-II Skidder,6,165.2809
42168-1,John Deere 9700 Forage Harvester,29,31.3967
240749-1,"Joy, Sadness & Anxiety",4,20.6529
30703-1,Julian's Beach Painting paper bag / polybag,92,4.124
77046-1,Julian's Birthday Party,7,11.562
77984-1,Jurassic Park Jeep Wrangler,1,206.6032
75434-1,K-2SO,18,66.1074
77052-1,K.K.'s Concert at the Plaza,9,56.1901
471864-1,Kai and Cole's Combiner Vehicles,17,20.6529
130650-1,Kai and Rapton's Temple Battle polybag,50,4.124
171789-1,Kai and Ras's Car and Bike Battle,1,20.6529
892308-1,Kai paper bag #1,438,2.0579
71734-1,Kai's Blade Cycle,4,12.3884
471851-1,Kai's Dragon Mech Battle Pack,20,7.4297
171777-1,Kai's Dragon Power Flip,4,10.7355
371823-1,Kai's Dragon Spinjitzu Spinner,11,7.4297
271808-1,Kai's Elemental Fire Mech,6,22.3058
71783-1,Kai's Mech Rider EVO,7,37.1818
371830-1,Kai's Mech Storm Rider,11,34.7025
371838-1,Kai's Motorcycle Speed Race,13,7.4297
271812-1,Kai's Ninja Climber Mech,3,66.1074
71780-1,Kai's Ninja Race Car EVO,25,7.4297
271815-1,Kai's Source Dragon Battle,9,33.0496
43293-1,Kakamora,14,28.9173
243258-1,Kakamora Barge,6,70.2396
77048-1,Kapp'n's Island Boat Tour,12,22.3058
42610-1,Karaoke Music Party,20,14.8678
42170-1,Kawasaki Ninja H2R Motorcycle,19,57.843
31216-1,Keith Haring - Dancing Figures,40,86.7686
77262-1,Ken Block's 1965 Ford Mustang Hoonicorn RTR V1,52,20.6529
43290-1,Kevin & Dug,22,42.9669
30676-1,Kiki's Coconut Attack polybag,280,4.124
43224-1,King Magnifico's Castle,2,82.6363
76213-1,King Namor's Throne Room,1,24.7851
10331-1,Kingfisher Bird,17,41.314
40618-1,Kingsley Shacklebolt & Nymphadora Tonks,6,22.3058
77081-1,KIT,20,70.2396
77077-1,Klombo,27,70.2396
76446-1,Knight Bus Adventure,13,37.1818
76471-1,Knockturn Alley Wizarding Shops,32,70.2396
76998-1,Knuckles and the Master Emerald Shrine,5,24.7851
77005-1,Knuckles vs. Dr. Eggman Egg Crusher Mech,14,28.9173
76996-1,Knuckles' Guardian Mech,11,25.6116
42173-1,Koenigsegg Jesko Absolut Gray Hypercar,26,37.1818
42184-1,Koenigsegg Jesko Absolut White Hypercar,25,61.9752
10352-1,Krusty Burger,1,206.6032
43013-1,Kylian Mbappé - Soccer Highlights {Mbappe},106,21.4793
775415-1,Kylo Ren Helmet,4,74.3719
775406-1,Kylo Ren's Command Shuttle,10,74.3719
40367-1,Lady Liberty,2,18.1735
10337-1,Lamborghini Countach 5000 Quattrovalvole,102,132.2231
42161-1,Lamborghini Huracán Tecnica,30,43.7934
42196-1,Lamborghini Huracán Tecnica Orange,6,43.7934
76923-1,Lamborghini Lambo V12 Vision Gran Turismo,115,18.1735
42214-1,Lamborghini Revuelto,108,128.0909
77238-1,Lamborghini Revuelto & Lamborghini Huracán STO,50,37.1818
42115-1,Lamborghini Sián (Sian) FKP 37,40,371.8924
471869-1,Land Bounty,15,90.9008
10317-1,Land Rover Classic Defender 90,38,206.6032
42110-1,Land Rover Defender,8,289.2478
40574-1,LEGO Brand Store,147,37.1818
40640-1,LEGO Nutcracker,62,9.9091
40306-1,LEGOLAND Castle,41,20.6529
40429-1,LEGOLAND NINJAGO World,219,28.9173
77054-1,Leif's Caravan & Garden Shop,22,20.6529
41754-1,Leo's Room,2,16.5207
10363-1,Leonardo da Vinci's Flying Machine,15,41.314
42687-1,Liann's Family House,2,49.5785
42146-1,Liebherr Crawler Crane LR 13000,19,570.2395
10992-1,Life at the Day-Care Center,3,41.314
60453-1,Lifeguard Truck,20,22.3058
88005-1,Light,86,12.3884
77255-1,Lightning McQueen,142,20.6529
43268-1,Lilo and Stitch Beach House,24,66.1074
10305-1,Lion Knights' Castle,1,454.537
43018-1,Lionel Messi - Celebration,114,123.9586
43011-1,Lionel Messi - Soccer Highlights,54,21.4793
43015-1,Lionel Messi - Soccer Legend,109,56.1901
76967-1,Little Eatie: T. rex,9,17.3471
171794-1,Lloyd and Arin's Ninja Team Mechs,5,59.4958
112325-1,Lloyd vs. Bone Warrior metal box,3,4.124
471850-1,Lloyd vs. Earth Monster Spinner,7,7.4297
471862-1,Lloyd's Dragon Mech Battle Pack,64,8.2562
371829-1,Lloyd's Green Forest Dragon,14,14.0413
371845-1,Lloyd's Jet Mech,17,82.6363
371828-1,Lloyd's Pull-Back Race Car,27,17.3471
71860-1,Lloyd's Titan Mech,52,90.9008
60483-1,Loader,30,7.4297
11211-1,Loki vs. Team Iron Man,20,35.5289
21034-1,London,27,37.1818
40569-1,London Postcard,1,16.5207
76907-1,Lotus Evija,30,24.7851
40647-1,Lotus Flowers,34,12.3884
31214-1,LOVE,47,56.1901
40867-1,Love Letters,2,20.6529
43271-1,Lucky & Penny 101 Dalmatians Puppies,55,18.1735
10344-1,Lucky Bamboo,59,20.6529
40813-1,Lucky Cat,117,22.3058
640795-1,Luke Skywalker (Rebel Pilot),4,12.3884
75390-1,Luke Skywalker X-Wing Mech,3,14.8678
675341-1,Luke Skywalker's Landspeeder - UCS,18,206.6032
76467-1,Luna Lovegood's House,58,70.2396
80108-1,Lunar New Year Traditions,11,74.3719
42211-1,Lunar Outpost Moon Rover,30,70.2396
42167-1,Mack LR Electric Garbage Truck,22,28.9173
11040-1,Magical Transparent Box,65,14.8678
31140-1,Magical Unicorn,14,7.4297
11510-1,Magnolia Branches,111,35.5289
60271-1,Main Square,4,157.0165
31141-1,Main Street,28,99.1653
31386-1,Majestic Lion,9,45.4463
31129-1,Majestic Tiger,1,45.4463
40601-1,Majisto's Magical Workshop,2,45.4463
43262-1,Maleficent's and Cruella De Vil's Dresses,7,53.7107
76453-1,Malfoy Manor,39,123.9586
75410-1,Mando and Grogu's N-1 Starfighter,14,20.6529
76433-1,Mandrake,25,66.1074
72050-1,Mario Kart - Luigi & Mach 8,38,126.438
72037-1,Mario Kart - Mario & Standard Kart,14,123.9586
42180-1,Mars Crew Exploration Rover,22,107.4297
76313-1,MARVEL Logo,11,70.2396
71380-1,Master Your Adventure - Maker Set,2,57.843
71491-1,Mateo and the Z-Blob Action Race Car,4,34.7025
552301-1,Mateo and Z-Blob paper bag,103,2.4711
71485-1,Mateo and Z-Blob the Knight Battle Mech,4,90.9008
71495-1,Mateo vs. Cyber Brain Mech,13,21.4793
71492-1,Mateo's Fire Chameleon,17,37.1818
71471-1,Mateo's Off-Road Car,11,7.4297
71499-1,Mateo's Spray Paint Truck,6,70.2396
77251-1,McLaren F1 Team MCL38,47,19.0
30683-1,McLaren Formula 1 Car polybag,138,4.124
42141-1,McLaren Formula 1 Team 2022 Race Car,93,181.8099
43023-1,McLaren Mastercard F1 Team Lando Norris Helmet,119,66.1074
43017-1,McLaren Mastercard F1 Team Oscar Piastri Helmet,98,66.1074
42228-1,McLaren MCL39 F1 Car,99,165.2809
10330-1,McLaren MP4/4 & Ayrton Senna,44,57.843
42172-1,McLaren P1,12,330.5701
76918-1,McLaren Solus GT & McLaren F1 LM,59,37.1818
30657-1,McLaren Solus GT polybag,176,4.124
77257-1,McLaren W1,109,20.6529
10456-1,McQueen's Visit to Doc's Garage,16,20.6529
76338-1,Mech Battle: Spider-Man vs. Doc Ock,6,21.4793
77078-1,Mecha Team Leader,46,165.2809
21325-1,Medieval Blacksmith,17,206.6032
31161-1,Medieval Dragon,17,41.314
31168-1,Medieval Horse Knight Castle,38,86.7686
10332-1,Medieval Town Square,1,247.9255
10696-1,Medium Creative Brick Box,9,21.4793
40924-1,Megatron Robot & Vehicle,3,24.7851
76909-1,Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One,20,49.5785
42171-1,Mercedes-AMG F1 W14 E Performance,49,157.0165
76924-1,Mercedes-AMG G 63 & Mercedes-AMG SL 63,27,41.314
77244-1,Mercedes-AMG PETRONAS F1 Team W15 E Performance,115,19.0
42177-1,Mercedes-Benz G 500 PROFESSIONAL Line,77,176.0247
11204-1,Mermaid Gabby's Aquarium Adventure,7,14.8678
42703-1,Mermaid Roller Coaster Ride,2,70.2396
41839-1,Message Board,87,99.1653
10941-1,Mickey & Minnie Birthday Train,2,27.2645
10780-1,Mickey and Friends Castle Defenders,2,45.4463
40456-1,Mickey Mouse,1,20.6529
10454-1,Mickey Mouse Clubhouse & Car,6,16.5207
10465-1,Mickey Mouse Clubhouse with Minnie & Pluto,8,35.5289
40703-1,Micro NINJAGO City,1,24.7851
40705-1,Micro NINJAGO City Gardens,1,24.7851
40706-1,Micro NINJAGO City Markets,2,28.9173
40712-1,Micro Rocket Launchpad,9,49.5785
31058-1,Mighty Dinosaurs {Green Edition},1,14.8678
40801-1,"Mike, Dustin, Lucas and Will Figures",1,41.314
76337-1,Miles Morales Mech vs. Spider-Man 2099,14,11.562
76311-1,Miles Morales vs. the Spot,7,34.7025
675375-1,Millennium Falcon,29,61.9752
630708-1,Millennium Falcon - Mini paper bag / polybag,103,3.2975
75192-1,Millennium Falcon - UCS {2nd edition},4,644.6196
21362-1,Mineral Collection,23,45.4463
43284-1,Mini Anna & Elsa,11,7.4297
43291-1,Mini Belle & Tiana with Castle,7,28.9173
21589-1,Mini Biomes,31,42.9669
40720-1,Mini Disney Sleeping Beauty Castle,1,41.314
40521-1,Mini Disney The Haunted Mansion,3,41.314
30734-1,Mini F1 ACADEMY Car paper bag,303,3.2975
43303-1,Mini Jasmine & Rapunzel,17,7.4297
40775-1,Mini Knight's Castle,1,24.7851
40220-1,Mini London Bus,1,12.3884
330699-1,Mini Ninja Combo Mech paper bag / polybag,458,3.2975
10343-1,Mini Orchid,67,20.6529
30592-1,Mini Thunder Raider polybag,146,4.124
483008-1,"Minifigure, Series 25 (Box of 36)",13,165.2809
71045-1,"Minifigure, Series 25 (Complete Random Set of 1 Minifigure)",24,4.9504
71046-1,"Minifigure, Series 26 (Complete Random Set of 1 Minifigure)",34,3.2975
533318-1,"Minifigure, Series 27 (Box of 36)",55,115.6942
71048-1,"Minifigure, Series 27 (Complete Random Set of 1 Minifigure)",285,3.2975
71051-3,"Minifigure, Series 28 (Box of 36)",53,99.1653
71051-1,"Minifigure, Series 28 (Complete Random Set of 1 Minifigure)",297,3.2975
623266-1,"Minifigure, Series 29 (Box of 36)",77,103.2975
71052-1,"Minifigure, Series 29 (Complete Random Set of 1 Minifigure)",237,3.2975
71050-3,"Minifigure, Spider-Man Across the Spider-Verse (Box of 36)",10,123.9586
71050-1,"Minifigure, Spider-Man Across the Spider-Verse (Complete Random Set of 1 Minifigure)",143,3.2975
475583-1,Minions and Gru's Family Mansion,2,90.9008
475581-1,Minions' Music Party Bus,1,37.1818
40457-1,Minnie Mouse,1,20.6529
43274-1,Minnie's Pet Hotel,6,28.9173
243270-1,Moana's Adventure Canoe,16,41.314
243260-1,Moana's Island Fun,30,14.0413
42606-1,Mobile Bakery Food Cart,13,7.4297
30658-1,Mobile Music Trailer polybag,153,4.124
60369-1,Mobile Police Dog Training,3,16.5207
31213-1,Mona Lisa,21,82.6363
40648-1,Money Tree,39,22.3058
77250-1,MoneyGram Haas F1 Team VF-24,9,19.0
42199-1,Monster Jam DIGatron Pull-Back,48,20.6529
42219-1,Monster Jam Grave Digger,37,21.4793
42220-1,Monster Jam Sparkle Smash,35,21.4793
42200-1,Monster Jam ThunderROARus Pull-Back,69,19.0
31101-1,Monster Truck,1,16.5207
60402-1,Monster Truck,7,12.3884
76786-1,Morticia's Cottage,8,103.2975
675290-1,Mos Eisley Cantina,48,371.8924
175380-1,Mos Espa Podrace,17,56.1901
60491-1,Motorcycle Transporter,25,14.8678
21335-1,Motorized Lighthouse,6,289.2478
71475-1,Mr. Oz's Space Car,1,22.3058
71460-1,Mr. Oz's Spacebus,5,72.719
31392-1,Music Decor Piano,19,28.9173
42653-1,Music Store & Apartment,25,35.5289
10479-1,My First Colorful Creative Box,4,14.0413
10474-1,My First Creative Vehicles,2,14.8678
30673-1,My First Duck paper bag / polybag,3,2.0579
30327-1,My First Duck polybag,354,3.2975
30333-1,My First Elephant polybag,196,3.2975
30686-1,My First Flower & Bee paper bag,184,3.2975
10977-1,My First Puppy & Kitten with Sounds,5,33.0496
10266-1,NASA Apollo 11 Lunar Lander,4,123.9586
42182-1,NASA Apollo Lunar Roving Vehicle - LRV,32,154.5371
42221-1,NASA Artemis Space Launch System Rocket,32,42.9669
42158-1,NASA Mars Rover Perseverance,15,82.6363
30682-1,NASA Mars Rover Perseverance polybag,174,4.124
10283-1,NASA Space Shuttle Discovery,14,247.9255
76935-1,NASCAR Next Gen Chevrolet Camaro ZL1,47,19.0
10326-1,Natural History Museum,20,289.2478
42682-1,Nature Glamping Cabin,6,18.1735
42166-1,NEOM McLaren Extreme E Team,33,19.8264
42169-1,NEOM McLaren Formula E Team,24,39.6611
21584-1,Nether & End Portal Journey,38,11.562
21063-1,Neuschwanstein Castle,16,190.0743
76296-1,New Captain America Construction Figure,34,24.7851
75364-1,New Republic E-Wing vs. Shin Hati's Starfighter,6,74.3719
21028-1,New York City,88,37.1818
21066-1,New York City - The Big Apple,105,99.1653
40519-1,New York Postcard,2,16.5207
41749-1,Newsroom Van,6,20.6529
71513-1,Nightmare Scorpion Digger,1,37.1818
71500-1,Nightmare Shark Submarine,4,99.1653
43025-1,Nike Air Max 95,1,99.1653
43008-1,Nike Dunk,1,99.1653
43010-1,Nike Slam Dunk,1,74.3719
71866-1,Ninja Character Display,43,28.9173
371844-1,Ninja Combat Vehicle,10,74.3719
371831-1,Ninja Spinjitzu Temple,8,28.0909
471857-1,Ninja Vehicle Tree House Battle,13,57.843
71741-1,NINJAGO City Gardens,24,330.5701
171799-1,NINJAGO City Markets,12,371.8924
77050-1,Nook's Cranny & Rosie's House,20,55.3636
21061-1,Notre-Dame de Paris,12,157.0165
30697-1,Nova's Doghouse Build paper bag / polybag,195,3.2975
10954-1,Number Train - Learn To Count,8,14.8678
171798-1,Nya and Arin's Baby Dragon Battle,12,28.9173
471849-1,Nya vs. Mutation Monster Spinner,9,7.4297
275333-1,Obi-Wan Kenobi's Jedi Starfighter,22,28.9173
60447-1,Off-Road Mountain Truck,35,14.0413
42164-1,Off-Road Race Buggy,63,13.2149
43287-1,Olaf and Bruni's Picnic Fun,59,37.1818
76439-1,Ollivanders & Madam Malkin's Robes,12,61.9752
10302-1,Optimus Prime,10,148.752
40803-1,Optimus Prime Robot & Vehicle,1,20.6529
77243-1,Oracle Red Bull Racing RB20,31,19.0
42206-1,Oracle Red Bull Racing RB20 F1 Car,119,157.0165
30714-1,Orange Cat paper bag,96,3.2975
10311-1,Orchid,66,37.1818
41729-1,Organic Grocery Store,10,74.3719
10983-1,Organic Market,7,24.7851
122331-1,Owen with Swamp Speeder and Raptor paper bag,25,2.0579
10323-1,PAC-MAN Arcade,8,272.7189
76915-1,Pagani Utopia,5,24.7851
41724-1,Paisley's House,2,33.0496
42647-1,Paisley's Room,24,14.0413
30641-1,Panda Bear polybag,16,4.124
31165-1,Panda Family,24,28.9173
42648-1,Panda Sanctuary,23,21.4793
21044-1,Paris,35,49.5785
21064-1,Paris - City of Love,161,57.843
72041-1,Party at Toad's House - Expansion Set,15,21.4793
41433-1,Party Boat,1,82.6363
41453-1,Party Time,2,33.0496
60367-1,Passenger Airplane,8,74.3719
60492-1,Passenger Jet,39,20.6529
75386-1,Paz Vizsla and Moff Gideon Battle,4,28.0909
11504-1,Peace Lily,20,43.7934
71408-1,Peach's Castle - Expansion Set,19,107.4297
21368-1,Peanuts: Snoopy's Doghouse,99,53.7107
77075-1,Peely & Sparkplug's Camp,16,14.8678
77072-1,Peely Bone,6,70.2396
10433-1,Peppa Pig Birthday House,7,32.2231
10432-1,Peppa Pig Boat Trip,8,21.4793
10431-1,Peppa Pig Garden and Tree House,4,14.8678
10434-1,Peppa Pig Supermarket,16,49.5785
40179-1,Personalised Mosaic Portrait,1,99.1653
42650-1,Pet Accessories Shop,6,28.0909
42678-1,Pet Accessories Van,7,14.8678
043232-1,Peter Pan & Wendy's Flight over London,27,57.843
10347-1,Petite Sunny Bouquet,222,20.6529
42156-1,Peugeot 9X8 24H Le Mans Hybrid Hypercar,98,148.752
30560-1,Photo Holder & Mini Board polybag,5,4.124
43305-1,Piglet's Birthday Fun,2,41.314
72152-1,Pikachu and Poké Ball {Poke},240,140.4876
31170-1,Pink Flamingo,45,18.1735
71426-1,Piranha Plant,19,53.7107
71382-1,Piranha Plant Puzzling Challenge - Expansion Set,1,33.0496
31109-1,Pirate Ship,11,115.6942
75346-1,Pirate Snub Fighter,15,28.9173
60496-1,Pizza Delivery Experience,38,35.5289
10469-1,Pizza Girls with Muffin and Bluey,8,28.9173
42694-1,Pizza Truck,1,10.7355
60458-1,Pizza vs. Fire Truck,67,7.4297
42179-1,Planet Earth and Moon in Orbit,46,57.843
42671-1,Plant Café & Flower Shop {Cafe},8,63.6281
40656-1,Play with Braille - English Alphabet,3,90.9008
30711-1,Play with Braille Bricks paper bag / polybag,196,3.2975
31163-1,Playful Cat,56,17.3471
31382-1,Playful Puppy,14,21.4793
11201-1,Playground Fun with Bluey and Chloe,6,14.8678
75400-1,Plo Koon's Jedi Starfighter Microfighter,118,10.7355
10369-1,Plum Blossom,85,23.1322
10370-1,Poinsettia,10,47.0992
21345-1,Polaroid OneStep SX-70 Camera,45,57.843
60456-1,Police Boat,9,20.6529
60312-1,Police Car,32,7.4297
60415-1,Police Car and Muscle Car Chase,15,14.8678
952208-1,Police Diver with Underwater Scooter foil pack,1,2.4711
10967-1,Police Motorcycle,31,7.4297
60455-1,Police Motorcycle,24,8.2562
30664-1,Police Off-Road Buggy Car polybag,23,4.124
60419-1,Police Prison Island,18,70.2396
60479-1,Police Prisoner Transport Van,14,14.8678
60508-1,Police Train Heist,9,140.4876
60481-1,Police Truck,29,7.4297
30693-1,Police Water Scooter paper bag / polybag,137,3.2975
952307-1,Policeman with Jet paper bag,640,2.0579
952207-1,Policeman with Jet Ski foil pack,520,2.0579
42654-1,Pony Ranch & Stable,10,57.843
562205-1,Poodle in Dog Parlor foil pack,2,2.4711
42619-1,Pop Star Music Tour Bus,2,74.3719
10295-1,Porsche 911,118,148.752
42224-1,Porsche 911 GT3 R REXY AO Racing,41,99.1653
77239-1,Porsche 911 GT3 RS,100,19.8264
42176-1,Porsche GT4 e-Performance,26,119.8264
88002-1,Power Functions Train Motor,70,24.7851
10342-1,Pretty Pink Flower Bouquet,32,41.314
72042-1,Prince Florian & Castle Bowser - Expansion Set,25,70.2396
43267-1,Princess Castle & Royal Pets,10,84.2892
675351-1,Princess Leia (Boushh) Helmet,10,82.6363
76451-1,Privet Drive: Aunt Marge's Visit,59,64.4545
80120-1,Prosperity Carp Leaping,3,49.5785
76943-1,Pteranodon Chase,3,20.6529
43292-1,Pua,13,49.5785
41396-1,Puppy Playground,2,10.7355
42665-1,Puppy Playground,11,7.4297
562303-1,Puppy with Doghouse foil pack,887,1.2314
76452-1,Quality Quidditch Supplies & Ice Cream Parlour,91,70.2396
10291-1,Queer Eye – The Fab 5 Loft,2,82.6363
30706-1,Quidditch Lesson paper bag / polybag,54,3.2975
30651-1,Quidditch Practice polybag,58,4.124
75379-1,R2-D2,72,71.8925
75308-1,R2-D2,17,247.9255
60322-1,Race Car,11,7.4297
60399-1,Race Car,10,10.7355
60406-1,Race Car and Car Carrier Truck,3,28.9173
30640-1,Race Car polybag,30,4.124
31160-1,Race Plane,17,12.3884
71420-1,Rambi the Rhino - Expansion Set,7,12.3884
76973-1,Raptor & Titanosaurus Tracking Mission,25,82.6363
76972-1,Raptor Off-Road Escape,32,23.9587
43297-1,Rapunzel's Castle,20,70.2396
43294-1,Rapunzel's Mini Tower,19,14.8678
76341-1,Ravager Jumpsuit Groot,43,42.9669
77082-1,Rave Cave,21,140.4876
43181-1,Raya and the Heart Palace,7,82.6363
75399-1,Rebel U-Wing Starfighter,29,49.5785
88021-1,Rechargeable Battery {for 113557c01},3,33.0496
31172-1,Record Player with Flowers,1,28.9173
60495-1,Recycling Truck,1,45.4463
41712-1,Recycling Truck,8,14.8678
31145-1,Red Dragon,3,12.3884
75413-1,Republic Juggernaut,20,107.4297
31147-1,Retro Camera,44,14.0413
31380-1,Retro Gaming Console,12,14.8678
31148-1,Retro Roller Skate,12,22.3058
,"Retro Space Heroine, Series 26 (Complete Set with Stand and Accessories)",19,4.124
31174-1,Retro Telephone,93,21.4793
21356-1,River Steamboat,29,305.7768
11380-1,Road Bike,34,86.7686
60304-1,Road Plates,17,14.8678
,"Robot Butler, Series 26 (Complete Set with Stand and Accessories)",2,4.124
60229-1,Rocket Assembly & Transport,9,132.2231
76243-1,Rocket Mech Armor,1,14.8678
31103-1,Rocket Truck,1,20.6529
76278-1,Rocket's Warbird vs. Ronan,15,28.0909
11506-1,Rocking Plants,80,14.0413
371843-1,Rogue's Mech Dragon Rider,10,49.5785
10261-1,Roller Coaster,19,454.537
,"Ron Weasley, Harry Potter, Series 2 (Complete Set with Stand and Accessories)",18,4.124
371842-1,Rontu the Master Dragon,11,37.1818
40460-1,Roses,427,16.5207
42082-1,Rough Terrain Crane,11,330.5701
76354-1,S.H.I.E.L.D. Helicarrier,17,280.9834
43288-1,Sally's Flowerpot,14,35.5289
40746-1,Santa's Delivery Truck,446,16.5207
40499-1,Santa's Sleigh,530,28.9173
30670-1,Santa's Sleigh Ride polybag,484,4.124
10293-1,Santa's Visit,12,123.9586
11373-1,Sauron's Helmet,107,53.7107
11221-1,School with Rusty and Bluey,14,18.1735
892184-1,Scuba Kai foil pack,1,2.4711
43014-1,Scuderia Ferrari HP Charles Leclerc Helmet,29,66.1074
43022-1,Scuderia Ferrari HP Lewis Hamilton Helmet,32,66.1074
41734-1,Sea Rescue Boat,8,74.3719
41752-1,Sea Rescue Plane,8,14.8678
60308-1,Seaside Police and Fire Mission,4,37.1818
40926-1,SEGA Genesis Console,3,41.314
000431-1,Serious Play Connections Kit {2013 Version},2,528.9172
000430-2,Serious Play Identity and Landscape Kit {2022 Version},1,661.1485
000414-4,Serious Play Starter Kit (234 Pieces Version),12,28.9173
40729-1,Shackleton's Lifeboat,1,66.1074
77000-1,Shadow the Hedgehog,11,66.1074
76995-1,Shadow's Escape,3,15.6942
10441-1,Shape Sorter: Puppy House,1,20.6529
10357-1,Shelby Cobra 427 S/C,114,111.5619
11371-1,Shopping Street,5,231.3966
40923-1,"Shrek, Donkey & Gingy Figures",3,24.7851
10360-1,Shuttle Carrier Aircraft,22,214.8677
75449-1,Siege of Mandalore Battle Pack,81,14.8678
77118-1,Silver's Car vs. Knuckles' Monster Truck,14,28.9173
43243-1,Simba the Lion King Cub,75,16.5207
21057-1,Singapore,11,53.7107
975272-1,Sith TIE Fighter,1,82.6363
30633-1,Skate Ramp polybag,2,4.124
30710-1,Skid-Steer Loader paper bag / polybag,122,3.2975
40812-1,Snowman Ornaments,3,15.6942
60490-1,Snowplow,10,18.1735
43019-1,Soccer Ball,54,86.7686
21331-1,Sonic the Hedgehog - Green Hill Zone,1,198.3388
77001-1,Sonic's Campfire Clash,26,14.0413
77117-1,Sonic: Speedster Lightning,2,7.4297
371824-1,Sora's Dragon Spinjitzu Spinner,15,7.4297
271807-1,Sora's Elemental Tech Mech,19,14.8678
76466-1,Sorcerer's Stone – Collectors' Edition,41,112.3884
10358-1,Soundwave,25,148.752
271822-1,Source Dragon of Motion,1,140.4876
31152-1,Space Astronaut,6,41.314
60434-1,Space Base and Rocket Launchpad,21,103.2975
60431-1,Space Explorer Rover and Alien Life,2,28.9173
30663-1,Space Hoverbike polybag,210,4.124
31164-1,Space Robot,11,17.3471
30694-1,Space Science Mech paper bag / polybag,144,3.2975
31134-1,Space Shuttle,71,7.4297
60429-1,Spaceship and Asteroid Discovery,10,16.5207
76336-1,Spider-Man Car vs. Venomized Wolverine,7,14.8678
76346-1,Spider-Man Hero Figure,6,70.2396
76308-1,Spider-Man Mech vs. Anti-Venom,14,12.3884
76349-1,Spider-Man Prison Transport Chase,5,35.5289
30725-1,Spider-Man vs. Anti-Venom Heist paper bag,539,3.2975
276321-1,Spider-Man vs. Doc Ock Subway Train Scene,8,35.5289
76335-1,Spider-Man vs. Ghost Rider Motorcycle,22,7.4297
76350-1,Spider-Man vs. Hulk Epic Clash,1,63.6281
76342-1,Spider-Man vs. Mysterio: The Daily Bugle,13,78.5041
76324-1,Spider-Man vs. Oscorp,11,95.033
76280-1,Spider-Man vs. Sandman: Final Battle,2,37.1818
76309-1,Spider-Man vs. Venom Muscle Car,19,20.6529
76285-1,Spider-Man's Mask,2,90.9008
11200-1,Spidey and Gobby's Raptor Battle at Tree House HQ,6,38.0083
11206-1,Spidey on his Motorcycle vs. Rhino,10,7.4297
11207-1,Spidey: Underwater Vehicles,1,24.7851
11198-1,Spin and Electro Dinosaur Vehicle Chase,6,14.0413
10424-1,Spin's Motorcycle Adventure,2,20.6529
42702-1,Spinning Flower & Fairy Teacup Ride,6,28.9173
76976-1,Spinosaurus & Quetzalcoatlus Air Mission,12,107.4297
40375-1,Sports Accessories polybag,1,4.9504
60448-1,Sports Car,28,7.4297
41744-1,Sports Center,3,82.6363
40709-1,Spring Animal Playground,892,12.3884
40682-1,Spring Garden House,20,24.7851
72032-1,Standard Kart,5,16.5207
42603-1,Stargazing Camping Vehicle,2,24.7851
77053-1,Stargazing with Celeste,26,7.4297
21042-1,Statue of Liberty,16,90.9008
30672-1,Steve and Baby Panda polybag,472,3.2975
21251-1,Steve's Desert Expedition,64,8.2562
21583-1,Steve's Taiga Adventure,8,7.4297
40674-1,Stitch,3,14.8678
43249-1,Stitch,16,45.4463
43296-1,Stitch & Scrump,15,49.5785
