codigo,nombre,cantidad,precio_eur
11202-1,Bluey's Beach & Family Car Trip,5,21.4793
11203-1,Bluey's Family House,12,49.5785
10459-1,Bluey's Family House with Memory Game,43,49.5785
76922-1,BMW M4 GT3 & BMW M Hybrid V8,27,37.1818
42226-1,BMW M4 GT3 EVO,52,45.4463
675387-1,Boarding the Tantive IV,1,49.5785
75312-1,Boba Fett's Starship,11,66.1074
75344-1,Boba Fett's Starship Microfighter,22,12.3884
10281-1,Bonsai Tree,17,37.1818
76450-1,Book Nook: Hogwarts Express,51,70.2396
71388-1,Boss Sumo Bro Topple Tower - Expansion Set,7,22.3058
10374-1,Bouquet of Pink Roses,99,43.7934
10328-1,Bouquet of Roses,91,43.7934
10297-1,Boutique Hotel,3,247.9255
72039-1,Bowser's Castle,30,70.2396
10913-1,Brick Box,10,21.4793
11217-1,Brick-Built Bluey Family,10,49.5785
475582-1,Brick-Built Gru and Minions,3,38.0083
76974-1,Brick-Built Mosasaurus Boat Mission,72,45.4463
75407-1,Brick-Built Star Wars Logo,24,49.5785
21339-1,BTS Dynamite,17,82.6363
76427-1,Buckbeak,42,41.314
42151-1,Bugatti Bolide,3,41.314
77240-1,Bugatti Centodieci,63,20.6529
42083-1,Bugatti Chiron,7,495.8593
42222-1,Bugatti Chiron Pur Sport,34,47.0992
77253-1,Bugatti Vision Gran Turismo,234,20.6529
75637-1,Buggy the Clown's Circus Tent,26,35.5289
40920-1,Bugs Bunny,1,41.314
11020-1,Build Together,1,90.9008
30563-1,Build your own Snail polybag,16,4.124
10423-1,Buildable People with Big Emotions,24,37.1818
952310-1,Builder with Digger paper bag,150,2.0579
60466-1,Bulldozer,23,42.9669
10338-1,Bumblebee,32,74.3719
40804-1,Bumblebee Robot & Vehicle,1,20.6529
77047-1,Bunnie's Outdoor Activities,29,14.8678
562302-1,Bunny at Veterinary Station foil pack,1,2.4711
60404-1,Burger Truck,13,14.0413
42198-1,Bush Plane,9,19.0
77248-1,BWT Alpine F1 Team A524,47,19.0
675398-1,C-3PO,21,103.2975
10452-1,Camping Trip,8,14.8678
42700-1,Candy & Cupcake Ferris Wheel,8,41.314
